x,edad,sexo,p_originario
1656,9,M,no
1657,7,H,no
1658,31,H,no
1659,46,M,no
1660,53,H,no
1661,10,H,no
1662,5,M,no
1663,52,M,no
1664,43,M,no
1665,30,M,no
1666,8,M,no
1667,39,M,no
1668,48,H,no
1669,19,H,no
1670,57,M,no
1671,4,H,no
1672,27,H,no
1673,94,M,no
1674,13,H,no
1675,11,H,no
1676,35,H,no
1677,52,M,no
1678,14,H,si
1679,39,M,no
1680,41,H,no
1681,53,M,no
1682,19,M,si
1683,66,H,no
1684,57,H,no
1685,17,H,no
1686,64,M,no
1687,51,H,no
1688,31,H,no
1689,2,M,no
1690,5,M,no
1691,28,M,no
1692,11,H,no
1693,34,M,si
1694,55,M,si
1695,40,M,no
1696,5,H,si
1697,22,H,no
1698,54,H,no
1699,18,M,si
1700,0,M,no
1701,57,H,no
1702,20,M,no
1703,40,M,no
1704,33,M,no
1705,55,M,no
1706,12,M,si
1707,57,H,no
1708,7,H,no
1709,68,H,no
1710,48,M,si
1711,47,H,no
1712,6,M,no
1713,22,M,no
1714,29,H,no
1715,3,M,no
1716,47,H,no
1717,60,H,no
1718,28,M,no
1719,62,M,no
1720,28,M,no
1721,42,M,no
1722,45,H,no
1723,10,H,no
1724,35,M,no
1725,18,M,no
1726,73,M,no
1727,32,H,no
1728,17,M,si
1729,26,H,no
1730,85,M,no
1731,54,M,no
1732,81,H,no
1733,38,H,no
1734,58,H,no
1735,48,M,no
1736,0,H,no
1737,15,H,no
1738,48,M,no
1739,32,H,no
1740,31,H,no
1741,36,M,si
1742,66,H,no
1743,51,M,si
1744,15,M,no
1745,19,M,no
1746,92,M,no
1747,35,M,no
1748,57,M,no
1749,30,M,no
1750,40,M,no
1751,40,H,no
1752,34,M,no
1753,25,H,no
1754,13,M,no
1755,21,H,no
1756,11,H,no
1757,45,H,no
1758,36,M,no
1759,27,M,no
1760,13,M,no
1761,85,M,no
1762,23,M,si
1763,12,M,no
1764,26,H,no
1765,35,H,no
1766,63,M,no
1767,20,H,no
1768,36,H,no
1769,5,M,si
1770,12,M,no
1771,27,H,no
1772,26,M,no
1773,37,H,si
1774,20,M,no
1775,94,M,no
1776,30,H,no
1777,72,M,no
1778,1,M,no
1779,13,M,no
1780,30,H,no
1781,63,H,no
1782,39,H,no
1783,69,M,no
1784,80,H,no
1785,7,H,si
1786,23,H,no
1787,68,M,no
1788,3,H,no
1789,77,H,no
1790,37,H,no
1791,56,H,no
1792,27,H,no
1793,54,M,no
1794,2,H,si
1795,60,M,no
1796,61,H,no
1797,26,M,no
1798,0,M,no
1799,27,M,no
1800,28,M,no
1801,57,H,no
1802,52,M,si
1803,50,M,no
1804,51,H,no
1805,57,H,no
1806,8,M,no
1807,51,M,no
1808,19,H,no
1809,33,M,no
1810,17,M,no
1811,21,M,si
1812,64,M,no
1813,1,H,no
1814,1,M,si
1815,20,M,no
1816,44,M,no
1817,9,M,no
1818,41,H,si
1819,23,H,no
1820,15,M,no
1821,60,M,no
1822,16,H,no
1823,38,M,no
1824,31,M,no
1825,34,M,no
1826,61,M,no
1827,25,H,no
1828,58,M,no
1829,44,H,no
1830,24,M,no
1831,71,H,no
1832,34,H,si
1833,47,H,no
1834,9,H,no
1835,18,M,no
1836,9,H,no
1837,23,H,no
1838,93,M,no
1839,56,M,no
1840,21,H,no
1841,69,H,no
1842,8,M,no
1843,29,H,no
1844,11,H,no
1845,48,M,no
1846,50,H,no
1847,39,M,no
1848,44,H,si
1849,34,M,no
1850,66,H,no
1851,76,M,si
1852,75,H,no
1853,28,M,no
1854,59,M,no
1855,60,M,no
1856,59,M,no
1857,56,H,no
1858,13,H,no
1859,20,H,no
1860,49,H,si
1861,10,H,no
1862,81,H,no
1863,72,M,no
1864,17,M,no
1865,53,H,no
1866,49,H,no
1867,6,M,no
1868,24,M,no
1869,6,M,no
1870,43,H,no
1871,12,M,no
1872,37,H,no
1873,15,M,no
1874,41,M,no
1875,0,M,no
1876,48,H,no
1877,25,H,si
1878,5,H,no
1879,41,M,no
1880,26,H,no
1881,42,H,si
1882,67,H,no
1883,27,H,no
1884,30,H,no
1885,55,M,no
1886,35,M,no
1887,12,H,no
1888,7,M,no
1889,6,M,no
1890,26,M,no
1891,30,H,no
1892,75,M,no
1893,49,M,no
1894,48,M,no
1895,61,M,no
1896,15,M,no
1897,7,H,no
1898,35,H,no
1899,0,H,no
1900,44,M,no
1901,3,H,no
1902,39,M,no
1903,20,M,no
1904,5,H,no
1905,18,M,no
1906,5,M,no
1907,32,H,no
1908,10,H,no
1909,18,M,si
1910,59,H,no
1911,3,H,no
1912,46,M,no
1913,36,H,no
1914,84,H,no
1915,39,M,no
1916,23,M,no
1917,74,M,no
1918,32,H,no
1919,11,M,no
1920,0,M,no
1921,43,M,no
1922,63,M,no
1923,24,H,no
1924,33,H,no
1925,5,M,no
1926,33,M,si
1927,29,M,no
1928,19,H,no
1929,47,M,no
1930,13,M,si
1931,72,M,no
1932,41,M,no
1933,40,H,no
1934,30,H,no
1935,28,H,no
1936,21,H,no
1937,16,H,no
1938,33,H,no
1939,48,H,no
1940,55,H,no
1941,65,H,no
1942,59,M,no
1943,67,M,no
1944,31,H,no
1945,13,M,no
1946,75,M,no
1947,22,M,si
1948,7,M,no
1949,74,H,no
1950,46,H,no
1951,28,M,si
1952,30,M,no
1953,23,H,si
1954,25,H,no
1955,33,M,no
1956,44,H,no
1957,37,M,no
1958,3,M,no
1959,21,H,no
1960,47,H,no
1961,48,M,no
1962,23,M,no
1963,65,M,no
1964,43,H,no
1965,45,H,no
1966,42,H,no
1967,66,M,no
1968,84,H,no
1969,15,H,no
1970,28,H,no
1971,28,H,no
1972,2,H,no
1973,43,H,si
1974,53,M,no
1975,33,H,no
1976,2,H,no
1977,0,M,si
1978,46,M,no
1979,1,H,no
1980,22,M,no
1981,26,H,no
1982,13,H,no
1983,49,M,no
1984,53,H,no
1985,6,M,no
1986,9,M,no
1987,36,M,si
1988,34,H,no
1989,35,H,no
1990,24,M,si
1991,10,M,no
1992,31,H,no
1993,65,M,no
1994,26,H,no
1995,3,H,no
1996,35,M,no
1997,37,M,no
1998,49,M,no
1999,5,M,no
2000,6,H,no
2001,41,H,no
2002,67,M,no
2003,76,H,no
2004,22,H,no
2005,41,M,si
2006,24,H,no
2007,25,M,no
2008,44,M,no
2009,7,H,no
2010,3,H,no
2011,16,H,no
2012,38,H,no
2013,63,M,no
2014,45,M,si
2015,58,H,no
2016,26,H,no
2017,26,H,no
2018,16,H,no
2019,37,H,si
2020,78,M,no
2021,26,H,no
2022,5,H,no
2023,35,M,no
2024,57,M,no
2025,60,M,no
2026,15,H,no
2027,29,H,no
2028,80,M,no
2029,77,M,no
2030,88,M,no
2031,0,H,no
2032,40,M,no
2033,61,H,si
2034,54,M,si
2035,22,H,no
2036,22,M,no
2037,26,M,si
2038,10,M,no
2039,38,M,si
2040,51,M,no
2041,2,H,no
2042,47,H,no
2043,17,H,no
2044,66,H,no
2045,31,H,no
2046,55,H,no
2047,38,M,no
2048,60,H,si
2049,5,M,no
2050,34,H,no
2051,43,H,si
2052,27,H,no
2053,5,H,no
2054,32,M,no
2055,31,M,no
2056,82,M,no
2057,19,M,no
2058,54,H,no
2059,14,H,no
2060,46,H,no
2061,5,M,no
2062,26,M,no
2063,15,H,no
2064,50,M,no
2065,17,H,no
2066,58,M,no
2067,24,M,no
2068,14,H,no
2069,52,H,no
2070,9,H,no
2071,2,H,no
2072,9,H,no
2073,12,M,no
2074,14,H,no
2075,10,H,no
2076,27,M,no
2077,17,M,no
2078,58,M,no
2079,25,H,no
2080,24,H,no
2081,63,H,no
2082,23,M,si
2083,67,M,no
2084,60,M,no
2085,44,M,no
2086,29,M,no
2087,40,H,no
2088,63,H,no
2089,70,M,no
2090,28,M,no
2091,10,M,no
2092,11,M,no
2093,54,M,no
2094,3,H,no
2095,22,M,no
2096,4,M,no
2097,40,H,no
2098,9,M,no
2099,2,H,no
2100,64,H,no
2101,31,M,no
2102,53,M,no
2103,11,M,no
2104,14,H,no
2105,70,H,no
2106,62,M,no
2107,42,M,no
2108,51,M,no
2109,28,H,no
2110,6,M,si
2111,52,H,no
2112,21,H,no
2113,51,H,no
2114,38,H,no
2115,15,H,no
2116,45,H,no
2117,76,M,no
2118,16,M,si
2119,54,H,no
2120,63,H,no
2121,50,H,no
2122,21,H,no
2123,46,H,no
2124,88,M,no
2125,47,H,no
2126,59,M,no
2127,9,H,no
2128,88,H,no
2129,30,H,no
2130,19,H,no
2131,83,H,no
2132,66,H,no
2133,52,M,no
2134,49,M,no
2135,31,M,no
2136,12,H,no
2137,40,M,no
2138,28,H,no
2139,44,M,no
2140,26,M,no
2141,66,H,no
2142,50,H,no
2143,67,M,si
2144,16,H,no
2145,0,H,no
2146,44,H,no
2147,43,M,no
2148,25,M,si
2149,57,H,no
2150,23,H,no
2151,53,H,no
2152,49,M,no
2153,8,M,no
2154,31,M,no
2155,13,M,no
2156,48,H,no
2157,22,M,no
2158,64,M,si
2159,58,M,no
2160,26,H,no
2161,54,M,si
2162,37,M,no
2163,46,H,no
2164,35,M,no
2165,34,M,no
2166,46,H,no
2167,49,M,no
2168,45,H,si
2169,79,M,no
2170,46,H,no
2171,54,M,no
2172,45,M,si
2173,29,H,no
2174,25,H,no
2175,28,M,si
2176,28,M,no
2177,55,M,no
2178,51,H,no
2179,48,H,no
2180,67,H,no
2181,79,H,no
2182,57,H,no
2183,20,M,si
2184,63,H,no
2185,58,M,no
2186,61,M,no
2187,11,M,no
2188,26,M,si
2189,19,H,no
2190,58,M,no
2191,14,M,no
2192,82,H,si
2193,51,H,no
2194,15,M,no
2195,85,H,no
2196,63,M,no
2197,28,M,no
2198,20,H,no
2199,3,H,no
2200,22,H,no
2201,15,M,no
2202,20,M,no
2203,3,M,no
2204,93,M,no
2205,20,H,no
2206,22,M,no
2207,19,H,no
2208,29,M,no
2209,41,H,no
2210,30,M,no
2211,40,M,no
2212,60,M,no
2213,9,M,no
2214,24,M,no
2215,23,H,no
2216,16,M,no
2217,48,H,no
2218,5,H,no
2219,57,H,no
2220,20,H,no
2221,33,H,no
2222,30,H,no
2223,67,H,no
2224,28,H,no
2225,62,H,no
2226,18,H,no
2227,17,M,no
2228,32,H,no
2229,69,M,no
2230,11,H,no
2231,10,H,no
2232,22,H,si
2233,59,M,no
2234,49,M,no
2235,23,H,no
2236,47,H,si
2237,39,M,no
2238,74,M,no
2239,46,H,si
2240,34,M,no
2241,7,H,no
2242,81,M,no
2243,15,H,no
2244,28,H,no
2245,30,H,no
2246,67,M,no
2247,15,M,si
2248,43,H,no
2249,14,H,no
2250,11,M,si
2251,17,H,no
2252,53,M,no
2253,87,H,no
2254,6,M,no
2255,23,M,no
2256,53,H,no
2257,28,M,no
2258,5,M,si
2259,7,M,no
2260,63,M,no
2261,4,H,no
2262,7,M,si
2263,26,H,si
2264,54,H,no
2265,48,M,no
2266,29,H,si
2267,55,M,no
2268,31,M,no
2269,86,M,no
2270,46,H,no
2271,57,H,no
2272,58,M,no
2273,16,H,no
2274,35,M,no
2275,54,M,no
2276,84,H,no
2277,6,H,no
2278,39,M,no
2279,36,M,no
2280,28,H,no
2281,27,H,no
2282,41,H,no
2283,28,M,no
2284,62,M,no
2285,31,H,si
2286,49,M,no
2287,56,H,no
2288,67,H,no
2289,57,H,si
2290,9,M,no
2291,47,M,no
2292,27,M,no
2293,77,M,no
2294,46,M,no
2295,34,M,no
2296,31,M,no
2297,56,M,no
2298,3,H,si
2299,21,M,no
2300,68,M,no
2301,5,M,si
2302,43,H,no
2303,33,M,no
2304,41,M,no
2305,23,H,no
2306,42,M,si
2307,34,H,no
2308,84,M,no
2309,2,M,no
2310,61,M,no
2311,25,H,si
2312,35,H,no
2313,34,M,no
2314,77,M,no
2315,59,H,no
2316,25,H,no
2317,36,M,no
2318,5,H,no
2319,70,M,no
2320,28,M,no
2321,15,M,no
2322,33,M,no
2323,61,H,no
2324,10,M,si
2325,0,M,si
2326,19,H,si
2327,27,H,no
2328,28,M,no
2329,40,H,no
2330,6,H,no
2331,80,M,no
2332,38,M,no
2333,27,H,no
2334,26,H,no
2335,37,M,si
2336,6,M,no
2337,55,M,no
2338,26,M,no
2339,60,H,no
2340,32,M,no
2341,43,H,no
2342,58,H,no
2343,44,M,si
2344,58,H,no
2345,52,M,no
2346,32,H,si
2347,20,M,no
2348,51,H,no
2349,11,H,no
2350,50,M,no
2351,65,M,no
2352,25,H,no
2353,49,M,no
2354,12,H,no
2355,17,H,no
2356,53,H,no
2357,51,H,no
2358,74,M,no
2359,4,M,no
2360,32,M,si
2361,0,M,no
2362,1,M,no
2363,26,H,no
2364,21,M,si
2365,71,M,no
2366,11,H,no
2367,24,H,no
2368,49,M,no
2369,7,M,no
2370,71,M,si
2371,74,M,no
2372,49,H,no
2373,52,M,no
2374,23,H,no
2375,86,M,no
2376,16,M,no
2377,24,M,no
2378,16,M,no
2379,37,M,no
2380,35,H,no
2381,1,M,no
2382,82,H,no
2383,13,M,no
2384,29,M,no
2385,35,H,no
2386,47,H,si
2387,53,H,no
2388,20,H,no
2389,30,H,no
2390,51,M,no
2391,25,H,no
2392,26,H,no
2393,93,M,no
2394,43,M,no
2395,33,M,no
2396,59,M,no
2397,28,H,no
2398,24,H,no
2399,0,H,no
2400,26,M,no
2401,18,H,no
2402,33,M,no
2403,55,M,no
2404,44,H,no
2405,74,H,no
2406,61,M,no
2407,35,M,no
2408,81,M,no
2409,16,H,no
2410,51,H,no
2411,40,M,no
2412,23,H,no
2413,1,M,no
2414,48,H,no
2415,56,M,no
2416,11,M,si
2417,35,H,no
2418,45,M,no
2419,30,H,no
2420,15,M,si
2421,39,M,no
2422,100,M,si
2423,51,M,no
2424,12,M,si
2425,36,M,no
2426,30,M,no
2427,52,M,no
2428,17,M,no
2429,95,M,no
2430,24,M,no
2431,68,H,si
2432,22,M,no
2433,6,H,no
2434,18,H,no
2435,32,H,no
2436,59,M,no
2437,16,M,no
2438,36,H,no
2439,28,H,no
2440,31,H,no
2441,28,H,no
2442,48,M,no
2443,44,H,no
2444,33,H,no
2445,61,M,no
2446,69,M,no
2447,28,H,no
2448,8,H,si
2449,12,H,no
2450,23,M,no
2451,64,M,no
2452,58,H,no
2453,29,H,no
2454,17,H,no
2455,59,M,no
2456,12,M,si
2457,9,H,no
2458,43,M,no
2459,49,H,si
2460,58,M,no
2461,18,H,no
2462,4,H,no
2463,27,M,no
2464,59,M,no
2465,51,H,no
2466,16,H,no
2467,44,M,no
2468,36,H,si
2469,44,M,si
2470,34,M,no
2471,60,H,si
2472,8,M,no
2473,10,H,no
2474,47,H,no
2475,71,M,no
2476,20,M,si
2477,51,M,no
2478,51,H,no
2479,39,H,no
2480,47,M,no
2481,0,H,no
2482,10,H,no
2483,49,M,no
2484,57,H,no
2485,61,M,no
2486,28,H,no
2487,2,M,si
2488,9,H,no
2489,50,H,no
2490,25,M,no
2491,51,M,no
2492,75,M,no
2493,63,H,no
2494,10,H,no
2495,24,H,no
2496,26,M,no
2497,7,M,no
2498,68,M,no
2499,32,M,no
2500,42,H,no
2501,45,M,no
2502,55,M,no
2503,53,H,no
2504,61,H,no
2505,1,M,no
2506,39,M,si
2507,75,M,no
2508,69,M,no
2509,1,M,no
2510,9,M,no
2511,68,H,no
2512,57,H,no
2513,47,H,no
2514,81,M,no
2515,28,H,no
2516,26,M,no
2517,15,H,si
2518,8,M,no
2519,12,M,no
2520,26,M,no
2521,24,H,no
2522,20,H,no
2523,7,M,no
2524,23,H,no
2525,9,H,no
2526,39,M,no
2527,73,M,no
2528,69,M,no
2529,52,M,no
2530,56,M,no
2531,34,H,no
2532,9,H,si
2533,53,H,no
2534,1,H,si
2535,72,H,si
2536,5,M,no
2537,42,H,no
2538,3,H,no
2539,51,H,no
2540,45,M,no
2541,6,M,si
2542,14,H,no
2543,25,H,no
2544,23,H,no
2545,25,H,no
2546,49,H,no
2547,1,H,no
2548,78,H,no
2549,26,M,no
2550,48,M,no
2551,28,M,no
2552,14,M,no
2553,9,H,no
2554,57,M,no
2555,40,H,no
2556,29,H,no
2557,50,M,si
2558,51,H,no
2559,44,M,no
2560,44,M,no
2561,57,H,no
2562,47,H,no
2563,90,M,no
2564,24,H,no
2565,37,H,si
2566,30,H,no
2567,43,M,no
2568,48,M,si
2569,54,H,no
2570,21,H,no
2571,52,H,no
2572,54,M,no
2573,15,H,no
2574,53,H,no
2575,56,H,no
2576,51,M,no
2577,44,M,no
2578,42,H,no
2579,74,M,no
2580,24,H,no
2581,16,H,no
2582,29,H,no
2583,9,H,no
2584,45,H,si
2585,28,H,no
2586,63,M,no
2587,60,H,no
2588,64,H,no
2589,48,M,si
2590,38,H,no
2591,46,M,no
2592,92,H,no
2593,24,M,no
2594,63,M,no
2595,71,M,no
2596,31,M,no
2597,54,M,no
2598,23,M,no
2599,33,M,no
2600,70,H,no
2601,50,H,no
2602,71,H,no
2603,27,H,no
2604,73,M,no
2605,2,M,no
2606,25,M,no
2607,31,H,no
2608,21,H,no
2609,31,H,no
2610,40,H,si
2611,0,M,no
2612,52,H,no
2613,33,H,no
2614,70,H,no
2615,28,M,no
2616,26,M,si
2617,44,M,no
2618,41,M,no
2619,40,M,no
2620,46,M,si
2621,18,M,no
2622,69,M,no
2623,53,H,no
2624,27,M,no
2625,27,H,si
2626,84,M,no
2627,57,M,no
2628,2,H,no
2629,57,H,no
2630,25,H,si
2631,46,M,no
2632,35,M,no
2633,0,M,no
2634,35,M,no
2635,26,M,no
2636,1,M,no
2637,4,M,no
2638,48,H,no
2639,23,H,no
2640,62,M,no
2641,35,M,si
2642,27,H,no
2643,80,M,no
2644,28,M,no
2645,56,H,no
2646,69,M,no
2647,56,M,no
2648,11,H,no
2649,17,M,si
2650,3,H,no
2651,7,M,no
2652,76,M,no
2653,25,H,no
2654,7,H,no
2655,46,H,no
2656,51,H,no
2657,45,H,no
2658,53,H,no
2659,61,H,no
2660,21,H,no
2661,20,H,no
2662,40,M,si
2663,43,M,no
2664,14,M,si
2665,8,H,no
2666,7,M,no
2667,27,H,no
2668,50,H,no
2669,48,H,no
2670,1,M,no
2671,10,H,no
2672,16,H,no
2673,46,M,no
2674,74,M,no
2675,13,M,si
2676,12,H,no
2677,11,H,no
2678,17,M,no
2679,8,H,no
2680,13,M,no
2681,62,H,si
2682,46,H,no
2683,17,M,no
2684,25,H,no
2685,1,M,no
2686,54,H,no
2687,5,M,si
2688,43,H,no
2689,46,M,no
2690,61,M,no
2691,36,H,no
2692,35,H,no
2693,11,H,no
2694,83,M,si
2695,51,H,no
2696,42,M,no
2697,16,H,si
2698,23,H,no
2699,73,H,no
2700,45,H,no
2701,50,H,no
2702,64,M,no
2703,50,M,no
2704,22,H,no
2705,48,H,si
2706,25,M,no
2707,0,M,no
2708,37,H,no
2709,19,H,no
2710,27,M,no
2711,13,H,no
2712,57,M,no
2713,42,H,no
2714,54,H,no
2715,67,H,no
2716,47,H,no
2717,25,M,no
2718,6,M,no
2719,52,H,no
2720,62,H,no
2721,54,H,no
2722,21,H,no
2723,61,H,no
2724,53,H,si
2725,0,H,no
2726,4,H,si
2727,12,M,no
2728,39,H,no
2729,31,M,no
2730,55,M,no
2731,31,H,no
2732,23,H,si
2733,3,H,no
2734,64,M,no
2735,22,H,no
2736,12,M,no
2737,2,M,no
2738,30,H,no
2739,39,M,no
2740,35,H,no
2741,28,H,no
2742,50,H,no
2743,47,H,no
2744,65,M,si
2745,6,M,no
2746,2,H,no
2747,29,M,no
2748,3,M,no
2749,49,H,no
2750,13,M,no
2751,8,M,no
2752,53,H,no
2753,33,H,no
2754,84,M,no
2755,60,H,si
2756,38,M,no
2757,27,M,no
2758,28,H,si
2759,25,H,no
2760,42,M,no
2761,53,H,si
2762,26,M,no
2763,74,M,no
2764,45,M,no
2765,17,H,no
2766,3,M,no
2767,4,H,no
2768,22,H,no
2769,55,M,no
2770,30,M,no
2771,6,H,si
2772,27,H,si
2773,23,M,si
2774,59,M,no
2775,54,M,no
2776,34,H,no
2777,10,M,no
2778,24,H,no
2779,37,H,no
2780,21,M,no
2781,16,H,no
2782,64,H,no
2783,48,M,si
2784,54,H,no
2785,12,H,si
2786,44,M,no
2787,52,M,no
2788,55,M,no
2789,57,H,no
2790,28,H,no
2791,14,H,no
2792,71,M,no
2793,57,M,no
2794,20,H,no
2795,51,M,no
2796,49,M,no
2797,65,H,no
2798,5,M,no
2799,20,M,no
2800,6,H,no
2801,59,H,no
2802,4,M,no
2803,18,H,no
2804,77,M,no
2805,11,M,no
2806,48,H,no
2807,9,M,no
2808,5,M,no
2809,60,M,si
2810,43,H,no
2811,78,M,no
2812,15,M,no
2813,32,M,no
2814,51,H,si
2815,24,M,no
2816,73,M,no
2817,27,H,si
2818,52,M,no
2819,37,M,no
2820,35,M,no
2821,56,H,no
2822,24,M,no
2823,1,H,no
2824,26,H,no
2825,19,H,no
2826,1,M,no
2827,46,M,no
2828,80,M,no
2829,13,M,si
2830,1,H,no
2831,33,M,no
2832,1,H,no
2833,35,M,no
2834,59,M,no
2835,6,H,no
2836,32,M,no
2837,3,H,no
2838,36,H,si
2839,33,H,no
2840,16,M,no
2841,47,M,no
2842,15,H,no
2843,53,H,no
2844,75,M,no
2845,81,H,no
2846,47,M,si
2847,64,H,no
2848,49,H,no
2849,8,M,no
2850,30,H,no
2851,87,H,no
2852,29,H,no
2853,3,M,no
2854,5,H,no
2855,64,H,no
2856,48,H,no
2857,40,H,no
2858,28,M,no
2859,45,H,no
2860,60,H,si
2861,63,M,no
2862,53,M,no
2863,6,H,no
2864,70,M,no
2865,3,M,no
2866,32,H,no
2867,59,H,no
2868,15,H,no
2869,44,H,no
2870,33,M,no
2871,69,H,no
2872,19,M,no
2873,64,M,no
2874,20,M,no
2875,14,H,no
2876,25,M,no
2877,30,H,no
2878,69,H,no
2879,5,H,no
2880,18,M,no
2881,19,H,no
2882,62,H,no
2883,42,H,no
2884,44,H,no
2885,29,H,no
2886,0,H,no
2887,66,H,no
2888,68,H,no
2889,47,H,no
2890,3,H,no
2891,44,H,no
2892,15,H,no
2893,36,M,no
2894,14,H,si
2895,39,M,no
2896,29,M,no
2897,19,M,no
2898,6,H,no
2899,70,M,no
2900,11,H,no
2901,93,M,no
2902,13,M,no
2903,33,H,no
2904,78,M,no
2905,35,M,no
2906,45,M,no
2907,62,H,no
2908,60,M,no
2909,13,H,si
2910,29,M,no
2911,6,M,no
2912,61,H,no
2913,6,M,no
2914,53,H,no
2915,31,M,no
2916,67,H,no
2917,2,H,no
2918,56,M,no
2919,13,M,no
2920,1,H,no
2921,34,M,si
2922,3,M,si
2923,40,M,no
2924,8,M,no
2925,53,M,no
2926,42,H,no
2927,24,M,no
2928,49,M,no
2929,62,H,no
2930,28,H,no
2931,16,M,no
2932,66,M,no
2933,83,H,no
2934,8,M,no
2935,8,M,no
2936,50,H,no
2937,1,H,no
2938,15,H,si
2939,0,M,no
2940,49,H,no
2941,59,M,no
2942,32,H,no
2943,4,M,no
2944,13,M,no
2945,56,M,no
2946,46,H,no
2947,41,H,no
2948,22,M,no
2949,8,M,no
2950,14,H,no
2951,47,H,no
2952,7,H,no
2953,16,M,no
2954,28,H,no
2955,5,M,no
2956,14,H,no
2957,85,M,no
2958,48,M,no
2959,7,M,no
2960,10,M,no
2961,72,H,no
2962,68,M,no
2963,3,H,no
2964,7,H,no
2965,38,H,no
2966,28,M,no
2967,18,H,si
2968,26,M,no
2969,77,H,no
2970,9,H,no
2971,61,M,no
2972,10,H,no
2973,10,M,no
2974,14,H,no
2975,7,M,no
2976,82,M,no
2977,40,M,no
2978,49,M,no
2979,34,M,no
2980,17,H,si
2981,68,H,si
2982,43,M,no
2983,76,M,no
2984,8,H,no
2985,54,M,no
2986,8,M,no
2987,36,H,no
2988,25,H,no
2989,28,M,no
2990,57,M,no
2991,46,M,si
2992,40,M,no
2993,35,M,no
2994,43,H,no
2995,12,H,si
2996,51,H,no
2997,39,H,no
2998,12,M,no
2999,35,H,no
3000,38,H,no
3001,1,H,no
3002,22,M,no
3003,22,H,no
3004,21,M,no
3005,4,H,no
3006,3,H,no
3007,21,M,si
3008,22,H,si
3009,16,H,no
3010,62,H,no
3011,25,M,no
3012,2,M,no
3013,40,M,no
3014,49,H,no
3015,70,H,no
3016,65,H,no
3017,34,H,si
3018,3,H,no
3019,13,M,no
3020,40,H,no
3021,58,H,no
3022,9,M,no
3023,10,M,no
3024,9,H,no
3025,30,H,si
3026,9,H,si
3027,24,M,no
3028,18,M,no
3029,27,H,no
3030,5,H,si
3031,6,H,no
3032,54,M,no
3033,1,H,no
3034,3,H,no
3035,63,H,no
3036,86,M,no
3037,38,H,no
3038,65,M,no
3039,11,H,no
3040,86,M,no
3041,68,M,no
3042,20,M,no
3043,47,H,no
3044,11,M,no
3045,23,M,no
3046,9,H,no
3047,16,H,no
3048,63,M,no
3049,39,H,no
3050,8,H,si
3051,73,H,no
3052,15,M,si
3053,8,H,no
3054,31,M,no
3055,21,H,no
3056,68,H,no
3057,20,H,no
3058,35,M,no
3059,83,M,si
3060,37,M,si
3061,50,M,no
3062,65,M,no
3063,54,M,no
3064,73,H,no
3065,65,M,no
3066,1,H,no
3067,43,M,si
3068,69,M,no
3069,37,H,no
3070,63,M,no
3071,92,H,no
3072,49,H,no
3073,7,M,no
3074,3,H,no
3075,37,M,no
3076,55,H,no
3077,38,M,no
3078,8,H,no
3079,60,M,no
3080,80,H,no
3081,27,M,no
3082,40,H,no
3083,59,H,no
3084,17,M,no
3085,47,M,no
3086,45,H,no
3087,48,M,no
3088,46,M,no
3089,45,H,si
3090,15,H,no
3091,29,H,no
3092,9,M,no
3093,78,H,no
3094,0,M,no
3095,10,M,si
3096,25,H,no
3097,43,H,si
3098,27,M,no
3099,37,H,no
3100,13,H,no
3101,47,H,no
3102,75,M,no
3103,1,M,no
3104,16,M,no
3105,23,M,si
3106,20,M,no
3107,74,H,no
3108,2,M,no
3109,38,M,no
3110,5,H,no
3111,33,M,no
3112,64,M,no
3113,39,H,no
3114,19,M,si
3115,17,H,si
3116,53,M,no
3117,26,M,no
3118,32,H,no
3119,14,M,no
3120,2,H,no
3121,59,H,no
3122,10,M,no
3123,16,H,no
3124,10,H,no
3125,6,M,no
3126,46,M,no
3127,64,M,no
3128,55,H,no
3129,42,M,no
3130,64,H,no
3131,10,H,no
3132,11,H,no
3133,35,M,no
3134,35,H,no
3135,5,H,no
3136,91,M,no
3137,28,H,no
3138,33,M,no
3139,17,H,si
3140,70,H,no
3141,94,M,no
3142,30,M,no
3143,38,M,no
3144,67,M,si
3145,16,M,no
3146,0,H,no
3147,2,M,si
3148,22,M,no
3149,46,M,no
3150,11,H,no
3151,75,H,no
3152,25,M,si
3153,2,H,no
3154,66,M,no
3155,5,M,no
3156,51,H,no
3157,80,M,no
3158,33,M,no
3159,45,H,no
3160,45,H,no
3161,69,M,no
3162,53,H,no
3163,12,M,no
3164,33,H,no
3165,38,H,no
3166,17,H,no
3167,16,M,no
3168,7,M,no
3169,34,M,no
3170,61,H,no
3171,57,M,no
3172,55,M,no
3173,29,H,no
3174,53,M,no
3175,20,M,no
3176,8,M,no
3177,56,M,no
3178,60,H,no
3179,2,M,no
3180,58,M,no
3181,17,M,no
3182,35,M,si
3183,35,H,no
3184,8,H,si
3185,2,M,no
3186,27,M,no
3187,56,M,no
3188,5,H,no
3189,35,M,no
3190,52,H,no
3191,29,M,no
3192,41,H,no
3193,53,M,no
3194,59,H,no
3195,25,H,no
3196,25,M,no
3197,78,M,no
3198,0,M,no
3199,57,M,no
3200,15,H,no
3201,18,H,no
3202,43,M,no
3203,57,M,no
3204,36,H,si
3205,41,M,no
3206,65,H,no
3207,33,H,no
3208,9,H,no
3209,32,H,no
